frame,time
1,0.000
2,0.034
3,0.067
4,0.100
5,0.134
6,0.167
7,0.200
8,0.234
9,0.267
10,0.300
11,0.334
12,0.367
13,0.400
14,0.434
15,0.467
16,0.500
17,0.534
18,0.567
19,0.600
20,0.634
21,0.667
22,0.700
23,0.734
24,0.767
25,0.800
26,0.834
27,0.867
28,0.900
29,0.933
30,0.967
31,1.000
32,1.033
33,1.067
34,1.100
35,1.133
36,1.167
37,1.200
38,1.233
39,1.267
40,1.300
41,1.333
42,1.367
43,1.400
44,1.433
45,1.467
46,1.500
47,1.533
48,1.567
49,1.600
50,1.633
51,1.667
52,1.700
53,1.733
54,1.767
55,1.800
56,1.833
57,1.867
58,1.900
59,1.933
60,1.967
61,2.000
62,2.033
63,2.067
64,2.100
65,2.133
66,2.167
67,2.200
68,2.233
69,2.267
70,2.300
71,2.333
72,2.367
73,2.400
74,2.433
75,2.467
76,2.500
77,2.533
78,2.567
79,2.600
80,2.633
81,2.666
82,2.700
83,2.733
84,2.766
85,2.800
86,2.833
87,2.866
88,2.900
89,2.933
90,2.966
91,3.000
92,3.033
93,3.066
94,3.100
95,3.133
96,3.166
97,3.200
98,3.233
99,3.266
100,3.300
101,3.333
102,3.366
103,3.400
104,3.433
105,3.466
106,3.500
107,3.533
108,3.566
109,3.600
110,3.633
111,3.666
112,3.700
113,3.733
114,3.766
115,3.800
116,3.833
117,3.866
118,3.900
119,3.933
120,3.966
121,4.000
122,4.033
123,4.066
124,4.100
125,4.133
126,4.166
127,4.200
128,4.233
129,4.266
130,4.300
131,4.333
132,4.366
133,4.399
134,4.433
135,4.466
136,4.499
137,4.533
138,4.566
139,4.599
140,4.633
141,4.666
142,4.699
143,4.733
144,4.766
145,4.799
146,4.833
147,4.866
148,4.899
149,4.933
150,4.966
151,4.999
152,5.033
153,5.066
154,5.099
155,5.133
156,5.166
157,5.199
158,5.233
159,5.266
160,5.299
161,5.333
162,5.366
163,5.399
164,5.433
165,5.466
166,5.499
167,5.533
168,5.566
169,5.599
170,5.633
171,5.666
172,5.699
173,5.733
174,5.766
175,5.799
176,5.833
177,5.866
178,5.899
179,5.933
180,5.966
181,5.999
182,6.033
183,6.066
184,6.099
185,6.133
186,6.166
187,6.199
188,6.232
189,6.266
190,6.299
191,6.332
192,6.366
193,6.399
194,6.432
195,6.466
196,6.499
197,6.532
198,6.566
199,6.599
200,6.632
201,6.666
202,6.699
203,6.732
204,6.766
205,6.799
206,6.832
207,6.866
208,6.899
209,6.932
210,6.966
211,6.999
212,7.032
213,7.066
214,7.099
215,7.132
216,7.166
217,7.199
218,7.232
219,7.266
220,7.299
221,7.332
222,7.366
223,7.399
224,7.432
225,7.466
226,7.499
227,7.532
228,7.566
229,7.599
230,7.632
231,7.666
232,7.699
233,7.732
234,7.766
235,7.799
236,7.832
237,7.866
238,7.899
239,7.932
240,7.965
241,7.999
242,8.032
243,8.065
244,8.099
245,8.132
246,8.165
247,8.199
248,8.232
249,8.265
250,8.299
251,8.332
252,8.365
253,8.399
254,8.432
255,8.465
256,8.499
257,8.532
258,8.565
259,8.599
260,8.632
261,8.665
262,8.699
263,8.732
264,8.765
265,8.799
266,8.832
267,8.865
268,8.899
269,8.932
270,8.965
271,8.999
272,9.032
273,9.065
274,9.099
275,9.132
276,9.165
277,9.199
278,9.232
279,9.265
280,9.299
281,9.332
282,9.365
283,9.399
284,9.432
285,9.465
286,9.499
287,9.532
288,9.565
289,9.599
290,9.632
291,9.665
292,9.698
293,9.732
294,9.765
295,9.798
296,9.832
297,9.865
298,9.898
299,9.932
300,9.965
301,9.998
302,10.032
303,10.065
304,10.098
305,10.132
306,10.165
307,10.198
308,10.232
309,10.265
310,10.298
311,10.332
312,10.365
313,10.398
314,10.432
315,10.465
316,10.498
317,10.532
318,10.565
319,10.598
320,10.632
321,10.665
322,10.698
323,10.732
324,10.765
325,10.798
326,10.832
327,10.865
328,10.898
329,10.932
330,10.965
331,10.998
332,11.032
333,11.065
334,11.098
335,11.132
336,11.165
337,11.198
338,11.232
339,11.265
340,11.298
341,11.332
342,11.365
343,11.398
344,11.431
345,11.465
346,11.498
347,11.531
348,11.565
349,11.598
350,11.631
351,11.665
352,11.698
353,11.731
354,11.765
355,11.798
356,11.831
357,11.865
358,11.898
359,11.931
360,11.965
361,11.998
362,12.031
363,12.065
364,12.098
365,12.131
366,12.165
367,12.198
368,12.231
369,12.265
370,12.298
371,12.331
372,12.365
373,12.398
374,12.431
375,12.465
376,12.498
377,12.531
378,12.565
379,12.598
380,12.631
381,12.665
382,12.698
383,12.731
384,12.765
385,12.798
386,12.831
387,12.865
388,12.898
389,12.931
390,12.965
391,12.998
392,13.031
393,13.065
394,13.098
395,13.131
396,13.165
397,13.198
398,13.231
399,13.264
400,13.298
401,13.331
402,13.364
403,13.398
404,13.431
405,13.464
406,13.498
407,13.531
408,13.564
409,13.598
410,13.631
411,13.664
412,13.698
413,13.731
414,13.764
415,13.798
416,13.831
417,13.864
418,13.898
419,13.931
420,13.964
421,13.998
422,14.031
423,14.064
424,14.098
425,14.131
426,14.164
427,14.198
428,14.231
429,14.264
430,14.298
431,14.331
432,14.364
433,14.398
434,14.431
435,14.464
436,14.498
437,14.531
438,14.564
439,14.598
440,14.631
441,14.664
442,14.698
443,14.731
444,14.764
445,14.798
446,14.831
447,14.864
448,14.898
449,14.931
450,14.964
451,14.997
452,15.031
453,15.064
454,15.097
455,15.131
456,15.164
